task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
107	88/7f5a12	80249	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (PREECLAMPSIA_REP1)	CACHED	0	2024-08-20 19:04:59.646	599ms	0ms	66.7%	3 MB	5.4 MB	2.8 MB	7.9 KB
106	bb/c182b1	67767	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:EDGER_EXON (samplesheet_preeclampsia.csv)	CACHED	0	2024-08-20 17:14:30.187	47.7s	47s	116.1%	618.7 MB	1.5 GB	164 MB	115.7 MB
109	36/8f03be	103012	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_EXON (1)	CACHED	0	2024-08-20 19:14:08.304	1h 6m 19s	1h 6m 17s	400.5%	3.1 GB	4 GB	223.5 MB	351.1 MB
90	b6/ee3814	67701	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP2)	CACHED	0	2024-08-20 17:14:30.164	21s	21s	140.4%	6.8 MB	220.9 MB	3 GB	6.8 KB
104	c7/4e179b	88775	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (PREECLAMPSIA_REP1)	CACHED	0	2024-08-20 19:05:32.093	1m 17s	1m 17s	100.1%	8.9 MB	222.4 MB	2.7 GB	271.5 KB
95	26/2028c2	67784	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP3)	CACHED	0	2024-08-20 17:14:30.192	604ms	0ms	47.4%	7 MB	13.1 MB	2.8 MB	7.9 KB
111	7d/228a6a	88482	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (PREECLAMPSIA_REP4)	CACHED	0	2024-08-20 19:05:31.578	498ms	0ms	75.0%	3 MB	5.4 MB	2.8 MB	7.9 KB
92	41/ee7d4c	85945	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP4)	CACHED	0	2024-08-20 19:05:19.417	18.9s	19s	94.9%	6.5 MB	220.9 MB	2.7 GB	6.8 KB
99	66/605b72	86396	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP1)	CACHED	0	2024-08-20 19:05:20.490	1m 20s	1m 20s	98.0%	8.6 MB	222.3 MB	2.9 GB	271.5 KB
100	63/69237c	86162	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP2)	CACHED	0	2024-08-20 19:05:19.775	1m 22s	1m 21s	98.8%	8.9 MB	222.4 MB	3 GB	271.9 KB
108	25/1b6894	81383	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (PREECLAMPSIA_REP3)	CACHED	0	2024-08-20 19:05:00.257	544ms	0ms	44.4%	10.5 MB	16.7 MB	2.8 MB	7.9 KB
91	a1/9a2741	80240	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP4)	CACHED	0	2024-08-20 19:04:59.641	785ms	0ms	50.0%	3 MB	5.4 MB	2.7 MB	7.9 KB
112	1c/e47447	80385	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (PREECLAMPSIA_REP4)	CACHED	0	2024-08-20 19:04:59.734	20s	19s	94.7%	6.5 MB	220.9 MB	2.7 GB	6.8 KB
98	3a/51cbc9	92788	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (PREECLAMPSIA_REP3)	CACHED	0	2024-08-20 19:06:14.809	29.8s	29s	96.4%	6.6 MB	220.9 MB	2.6 GB	6.8 KB
115	5f/4726cb	89672	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (PREECLAMPSIA_REP4)	CACHED	0	2024-08-20 19:05:38.347	1m 17s	1m 17s	104.3%	8.8 MB	222.4 MB	2.7 GB	271.7 KB
114	98/f90cc8	119707	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:DRIMSEQ_FILTER (1)	CACHED	0	2024-08-20 20:24:52.616	7.7s	6s	109.2%	465.5 MB	1.3 GB	60.4 MB	4.7 MB
87	05/31236d	80272	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP1)	CACHED	0	2024-08-20 19:04:59.654	651ms	0ms	85.7%	3.1 MB	5.4 MB	2.8 MB	7.9 KB
105	19/e509fc	93629	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (PREECLAMPSIA_REP3)	CACHED	0	2024-08-20 19:06:21.850	1m 5s	1m 4s	121.7%	8.6 MB	222.4 MB	2.6 GB	271.2 KB
113	88/964859	116150	NFCORE_RNASPLICE:RNASPLICE:RMATS:RMATS_PREP (PREECLAMPSIA-CONTROL)	CACHED	0	2024-08-20 20:20:27.222	4m 25s	4m 25s	395.5%	1.2 GB	1.4 GB	23.4 GB	342.4 MB
110	60/ae2c52	9403	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_SALMON:DEXSEQ_DTU (1)	COMPLETED	0	2024-08-21 11:16:06.010	2m 52s	2m 51s	226.9%	965.3 MB	2 GB	84.6 MB	43.1 MB
116	91/d93293	11970	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:DEXSEQ_DTU (1)	COMPLETED	0	2024-08-21 11:18:58.213	2m 58s	2m 57s	232.1%	1 GB	2.1 GB	84.5 MB	38.6 MB
117	f9/1477c6	14592	NFCORE_RNASPLICE:RNASPLICE:RMATS:RMATS_POST (PREECLAMPSIA-CONTROL)	COMPLETED	0	2024-08-21 11:21:56.330	2h 37m 55s	2h 37m 55s	1.3%	1.1 GB	2.1 GB	1.5 GB	111.8 MB
118	18/345d6e	50169	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_SALMON:STAGER (1)	COMPLETED	0	2024-08-21 13:59:51.114	1m 14s	7s	110.1%	410.9 MB	767.1 MB	52.5 MB	1.8 MB
119	e2/ba6f7e	50890	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_STAR_SALMON:STAGER (1)	COMPLETED	0	2024-08-21 14:01:05.347	7.6s	6s	110.1%	410.6 MB	766.7 MB	52.6 MB	1.9 MB
120	8a/7d641b	51591	NFCORE_RNASPLICE:RNASPLICE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2024-08-21 14:01:13.048	456ms	126ms	58.5%	5 MB	15.1 MB	913.4 KB	189.1 KB
121	73/27b3bc	51793	NFCORE_RNASPLICE:RNASPLICE:MULTIQC	COMPLETED	0	2024-08-21 14:01:13.535	15.2s	14.7s	223.8%	177 MB	1.1 GB	1002.8 MB	32.6 MB
