Geneid,Chr,Strand,NExons,gene.F,P.Value,FDR
gene-Ntn1,NC_000077.7,-,7,5.39164013267092,0.000128675288448771,0.00097604545777593
gene-Rangap1,NC_000081.7,-,17,3.18550107863018,0.000129408131667167,0.000981028937193122
gene-Itgb8,NC_000078.7,-,15,3.39481777413685,0.000130288804143493,0.000987126009279223
gene-Nat10,NC_000068.8,-,34,2.34719423564587,0.000130445451936307,0.000987126009279223
gene-Nell2,NC_000081.7,-,28,2.535745688744,0.000130447721832774,0.000987126009279223
gene-Tom1l2,NC_000077.7,-,21,2.87573052792319,0.000130517704775958,0.000987126009279223
gene-Spred1,NC_000068.8,+,7,5.37828611893181,0.000131829657370133,0.000996465785369921
gene-Tmem132b,NC_000071.7,+,9,4.55185989921253,0.000132240910685369,0.000998990477741754
gene-Nsg2,NC_000077.7,+,9,4.54954102209016,0.000132961295393827,0.00100384613737791
gene-Anapc5,NC_000071.7,-,23,2.75546712324255,0.000133341780581204,0.0010061314167192
gene-Septin3,NC_000081.7,+,16,3.27613765503228,0.000134031358102387,0.00101074492964325
gene-Igsf9,NC_000067.7,+,28,2.53109375874789,0.000134476589597649,0.00101351149957249
gene-Ide,NC_000085.7,-,26,2.61051147192986,0.00013477496437634,0.00101516867459477
gene-Pcdha6,NC_000084.7,+,4,8.30142154933471,0.000134981943431276,0.00101613589895035
gene-Entpd3,NC_000075.7,+,8,4.89972470821881,0.000135589603854933,0.00101972930390375
gene-Msantd2,NC_000075.7,+,14,3.5197596504556,0.000135686970722251,0.00101972930390375
gene-Klhl13,NC_000086.8,-,14,3.51016523868799,0.000135695827110365,0.00101972930390375
gene-Cab39,NC_000067.7,+,11,4.01717985433587,0.000136367333476954,0.00102418044358736
gene-Fstl5,NC_000069.7,+,17,3.17278868487638,0.000136612909710512,0.00102542934491355
gene-Fnip2,NC_000069.7,-,17,3.17172396757518,0.000137234185767198,0.00102949519984175
gene-Pdpk1,NC_000083.7,-,16,3.26994031152945,0.000137426447929192,0.00103033985569173
gene-Atp13a2,NC_000070.7,+,34,2.34027709803384,0.000137538241220571,0.00103058057572749
gene-D130040H23Rik,NC_000074.7,+,7,5.34639961381264,0.000139684678225182,0.00104605787115592
gene-Eif3b,NC_000071.7,+,19,2.99860346572958,0.000140683995704583,0.00105293178035149
gene-Brwd3,NC_000086.8,-,41,2.18204562686218,0.000140792511741927,0.00105313450223155
gene-Grm1,NC_000076.7,-,10,4.2393706896855,0.000140997286235105,0.00105405659125931
gene-Zfp346,NC_000079.7,+,8,4.88003710294587,0.000141265404102913,0.00105545087883476
gene-Tcea1,NC_000067.7,+,11,4.00027143141005,0.000143101588963586,0.00106855245384876
gene-Lig3,NC_000077.7,+,26,2.59983517196251,0.000143913385762725,0.00107399412467936
gene-Drg1,NC_000077.7,-,11,3.99727747929576,0.000144328482987968,0.00107647074422341
gene-Khdrbs1,NC_000070.7,-,18,3.07198142634124,0.000144478327894574,0.00107696727069771
gene-5830417I10Rik,NC_000069.7,+,16,3.254036358045,0.000146537094330378,0.00109141794008509
gene-Ccdc47,NC_000077.7,-,14,3.4885703966341,0.00014658570802813,0.00109141794008509
gene-Syt6,NC_000069.7,+,15,3.36109046321888,0.000148141194553019,0.00110236482690115
gene-Qki,NC_000083.7,-,12,3.79870655236044,0.000148409067891229,0.00110372310237911
gene-Otulinl,NC_000081.7,-,9,4.5012218080488,0.000148911320712683,0.00110682190274547
gene-Gm20716,NC_000068.8,-,12,3.79023457591388,0.000149756492332447,0.00111246451196757
gene-Xpot,NC_000076.7,-,33,2.3538039005545,0.000152053950824358,0.00112831255665042
gene-Sgsm2,NC_000077.7,-,33,2.35379469126767,0.000152064392348386,0.00112831255665042
gene-Lrrc40,NC_000069.7,+,15,3.35096399587314,0.000153964174808035,0.00114175382614238
gene-Msn,NC_000086.8,+,13,3.61563186461774,0.00015454907539168,0.00114543449400607
gene-Atxn1l,NC_000074.7,-,4,8.15687148505089,0.000155410057168827,0.00115065705161674
gene-Hsp90ab1,NC_000083.7,-,11,3.97129365885542,0.000155431676268031,0.00115065705161674
gene-Ptpn1,NC_000068.8,+,9,4.48247523202439,0.000155609718948721,0.00115131607274817
gene-Cnot3,NC_000073.7,+,29,2.47236969136517,0.000156515415813391,0.0011573549872582
gene-Ssh2,NC_000077.7,+,20,2.9034214077456,0.000157714559198057,0.00116535439477686
gene-Ppfibp1,NC_000072.7,+,31,2.40646588739986,0.000157789016540937,0.00116535439477686
gene-Krr1,NC_000076.7,+,10,4.19593569162763,0.00015786754037339,0.00116535439477686
gene-Polr3gl,NC_000069.7,-,9,4.47516945893767,0.000158302107006974,0.00116789569305259
gene-Slc7a14,NC_000069.7,-,9,4.46913149646441,0.000160562856527985,0.001183899329234
gene-Rnf38,NC_000070.7,-,22,2.77594988186263,0.000160831442516526,0.00118520401485255
gene-Klhl23,NC_000068.8,+,8,4.8164090856559,0.000161315439864763,0.00118809372652106
gene-Arpc5l,NC_000068.8,+,8,4.81526782616305,0.00016170034019576,0.00119025071129867
gene-Chrnb2,NC_000069.7,-,6,5.87212192584385,0.000162044050176707,0.00119210221896209
gene-Nemf,NC_000078.7,-,35,2.29278385201725,0.000163219815294344,0.00120006928436711
gene-Dek,NC_000079.7,-,11,3.95262358736748,0.000163937447656063,0.00120466080144083
gene-Kcnh2,NC_000071.7,-,19,2.96577425520679,0.000164147947096578,0.00120552265746737
gene-Slc12a6,NC_000068.8,+,24,2.66770045688527,0.000164342172181808,0.00120626408219485
gene-Nadk,NC_000070.7,+,14,3.45615945398175,0.000164594252092482,0.00120742907675103
gene-Hycc1,NC_000071.7,-,14,3.45482517982249,0.000165381325939004,0.00121251512946096
gene-Rab30,NC_000073.7,+,9,4.45605827555195,0.0001655704820532,0.00121321418945838
gene-Ldlrad4,NC_000084.7,+,10,4.17689067885032,0.000165894357011121,0.00121489904825868
gene-Sp3,NC_000068.8,-,8,4.80238923908415,0.000166108999722958,0.00121578250900793
gene-Psmd11,NC_000077.7,+,15,3.33011023382531,0.000166686169321622,0.00121931687094827
gene-Afg3l1,NC_000074.7,+,20,2.8913534567054,0.000167343076941396,0.00122343019450711
gene-Plppr4,NC_000069.7,-,7,5.24439407046816,0.0001681729199938,0.00122880247134453
gene-Prickle2,NC_000072.7,-,11,3.94175160575735,0.000169105010508889,0.00123491535906915
gene-Smad5,NC_000079.7,+,8,4.78557381932511,0.000172049789460509,0.00125571101980404
gene-Bcl7a,NC_000071.7,+,6,5.83307311880182,0.00017215137288652,0.00125574377075091
gene-Ahcyl1,NC_000069.7,-,22,2.76165500588478,0.000173558004235589,0.00126529068138606
gene-Rprd2,NC_000069.7,-,18,3.02848078519126,0.00017556525999129,0.00127920310279851
gene-Cnksr2,NC_000086.8,-,25,2.60816050759541,0.000177692368243853,0.00129397263428927
gene-Eml2,NC_000073.7,+,25,2.60629655426833,0.00017966670398257,0.00130761366494461
gene-Msh6,NC_000083.7,+,10,4.14472325343901,0.000182628429939548,0.00132842153228806
gene-Bltp3a,NC_000083.7,+,21,2.80980635504791,0.000182958774339642,0.00133007635105935
gene-Thoc3,NC_000079.7,-,6,5.79232053194198,0.000183390030687758,0.00133246250948583
gene-Gnai1,NC_000071.7,-,8,4.75462207880059,0.000183555401018261,0.00133291521693946
gene-Zfp40,NC_000083.7,-,11,3.91234470569434,0.000183919657919502,0.0013348108506582
gene-Ctc1,NC_000077.7,+,28,2.48238600874746,0.000184759814528616,0.00134015629910185
gene-Ccser2,NC_000080.7,-,13,3.56170504445966,0.000185047520991161,0.00134149080099702
gene-Chfr,NC_000071.7,+,25,2.60069959584184,0.000185726120100287,0.00134565597269301
gene-Dpp8,NC_000075.7,+,26,2.5572495768281,0.000186853679355567,0.00135306754485193
gene-Phf8,NC_000086.8,+,24,2.64439968188239,0.000187818487488301,0.00135929294834146
gene-Ndfip1,NC_000084.7,+,9,4.40038344045748,0.000188730965288591,0.00136463421004267
gene-Syn2,NC_000072.7,+,14,3.42938993196612,0.000188767540537101,0.00136463421004267
gene-Coro7,NC_000082.7,-,28,2.47817426900015,0.000189891456964183,0.00137199229771943
gene-Mtss2,NC_000074.7,+,19,2.92980963277358,0.000194332842755892,0.00140329796502622
gene-Pfkl,NC_000076.7,-,23,2.68696752604507,0.00019480563498601,0.00140592705205026
gene-Acat1,NC_000075.7,-,12,3.70466906037712,0.000195243158372769,0.00140829881050475
gene-Wdr3,NC_000069.7,-,28,2.47338222042677,0.000195900873870255,0.00141225529641249
gene-6430548M08Rik,NC_000074.7,+,13,3.5430590467182,0.000196941191439976,0.00141896402723856
gene-Vps13a,NC_000085.7,-,69,1.82292093238251,0.000198962042945119,0.00143272611437039
gene-Unc79,NC_000078.7,+,58,1.91625563453376,0.000199569391343403,0.00143629990998566
gene-Trappc13,NC_000079.7,-,14,3.40130071476621,0.000200264088010308,0.00144049802571597
gene-Clcn5,NC_000086.8,-,13,3.5370436172024,0.000200939414601888,0.00144388034202353
gene-Immt,NC_000072.7,+,18,2.99830090122399,0.000200957598054771,0.00144388034202353
gene-Tlk1,NC_000068.8,-,25,2.5868211412967,0.000201634828078891,0.00144794182762038
gene-Arel1,NC_000078.7,-,23,2.6805097271539,0.000201876824694626,0.0014488751241818
gene-Dele1,NC_000084.7,+,13,3.53478367419444,0.000202462446790652,0.00145183747574181
gene-Prxl2c,NC_000079.7,-,6,5.72852509196692,0.000202514096206466,0.00145183747574181
gene-Pkia,NC_000069.7,+,4,7.8843179315043,0.000203111519160544,0.00145531372703785
gene-Rims3,NC_000070.7,+,9,4.36770267883437,0.000204071175155824,0.00146138012640657
gene-Dbnl,NC_000077.7,+,16,3.17125659155649,0.000204635612975171,0.00146461116912445
gene-Thbs1,NC_000068.8,+,23,2.6774738293451,0.000205288155397751,0.0014684688682296
gene-Dbn1,NC_000079.7,-,27,2.50248753484647,0.000205641095282301,0.00147018036776451
gene-Socs7,NC_000077.7,+,10,4.09258777627945,0.000206680000135582,0.00147679140428369
gene-Gprin2,NC_000080.7,-,2,16.7420431546832,0.000207044557838075,0.00147857938515727
gene-Nol10,NC_000078.7,+,22,2.72776994645339,0.000207845069513266,0.00148347697793326
gene-Sox1ot,NC_000074.7,+,8,4.69385048905748,0.000208472717743713,0.00148713604996108
gene-Slc6a15,NC_000076.7,+,14,3.38919531859728,0.000209123213310076,0.00149052242098646
gene-Ift81,NC_000071.7,-,21,2.78361030015273,0.000209177931964001,0.00149052242098646
gene-Atosa,NC_000075.7,+,19,2.91359168888118,0.000209689320975357,0.00149266748086669
gene-Nploc4,NC_000077.7,-,18,2.98877144156764,0.000209709797628916,0.00149266748086669
gene-Ssbp2,NC_000079.7,+,28,2.46166465051366,0.000211394565627927,0.00150383163766005
gene-Lmnb1,NC_000084.7,+,11,3.86301026862582,0.000211769127623897,0.00150566801954913
gene-Slc12a5,NC_000068.8,+,27,2.49839051137467,0.000213175162565087,0.00151483207552433
gene-Gdi1,NC_000086.8,+,11,3.85824332314378,0.000214675512669702,0.00152444947160918
gene-Pde1c,NC_000072.7,-,21,2.77845094799777,0.000214764318972545,0.00152444947160918
gene-Smc6,NC_000078.7,+,30,2.39272242380307,0.000215248729582607,0.00152704981881067
gene-Ahsa2,NC_000077.7,-,19,2.90703323924025,0.000216236090650518,0.00153242566648186
gene-Metap2,NC_000076.7,-,13,3.515076725907,0.000216243473388185,0.00153242566648186
gene-A230045G11Rik,NC_000083.7,-,5,6.51093047180485,0.000217715232313067,0.00154201045975077
gene-Slc12a2,NC_000084.7,+,28,2.45680315527715,0.000218170965631179,0.00154439250055174
gene-Stag2,NC_000086.8,+,41,2.13036545710036,0.000222070402569057,0.0015711359499046
gene-Mtmr6,NC_000080.7,+,16,3.15064447738012,0.000222368224308869,0.001572382856745
gene-Larp1,NC_000077.7,+,19,2.89836878181337,0.000225197043681029,0.00159151550050642
gene-Zfp644,NC_000071.7,-,14,3.36635585948809,0.00022691917032172,0.00160281028387264
gene-Oxct1,NC_000081.7,+,17,3.0516356955679,0.000228822772891609,0.00161449428479127
gene-Uevld,NC_000073.7,-,20,2.82753461045134,0.000228823012759793,0.00161449428479127
gene-Senp7,NC_000082.7,+,30,2.38273197724663,0.000230515498727664,0.00162554904309972
gene-Dhx8,NC_000077.7,+,23,2.65602074196068,0.000231072204063057,0.00162858682024388
gene-Plxna3,NC_000086.8,+,43,2.09431538434633,0.00023536402440065,0.0016579318777634
gene-Mark1,NC_000067.7,-,22,2.70146275692433,0.000239011810654727,0.00168271080413587
gene-Stxbp1,NC_000068.8,-,21,2.75625486781059,0.000240530578167415,0.00169248202798649
gene-Mef2d,NC_000069.7,+,19,2.88363185595424,0.000241292239404166,0.00169686924889856
gene-Mbnl2,NC_000080.7,+,10,4.03311356119806,0.00024141648635068,0.00169686924889856
gene-Unc5d,NC_000074.7,-,20,2.81489286466011,0.000243429937359979,0.00171009200427844
gene-Ttpal,NC_000068.8,+,9,4.29162839061861,0.00024388242718881,0.00171234062477355
gene-Ncoa7,NC_000076.7,-,18,2.95331815000591,0.00024572813427195,0.00172436351629904
gene-Bcl9,NC_000069.7,-,13,3.47517274868091,0.000247094049869458,0.00173300832264735
gene-Strn4,NC_000073.7,+,20,2.81127682602113,0.000247775430404213,0.00173684533410173
gene-Ddx21,NC_000076.7,-,15,3.22424982656027,0.000249390177737128,0.00174721731780839
gene-Tapt1,NC_000071.7,-,14,3.33907336646681,0.000250172406194007,0.00175174863525018
gene-Ubxn2a,NC_000078.7,-,9,4.28046049918419,0.000250399248400967,0.0017523882465204
gene-Podxl,NC_000072.7,-,8,4.60397254125604,0.000251773272022636,0.00176074853821646
gene-Nup54,NC_000071.7,-,16,3.11972590448099,0.000251878224828535,0.00176074853821646
gene-Pigt,NC_000068.8,+,15,3.22151115850738,0.000252002284407228,0.00176074853821646
gene-Sptlc2,NC_000078.7,-,12,3.61960041711963,0.000254233328483385,0.00177537777390692
gene-Spred2,NC_000077.7,+,9,4.27081203291529,0.000256171163118116,0.00178794476665224
gene-Zfp532,NC_000084.7,+,11,3.79541627175628,0.000256952420959737,0.00179243023747156
gene-Acap2,NC_000082.7,-,27,2.46651005298002,0.000257894499621266,0.0017980321097584
gene-Git2,NC_000071.7,-,24,2.58869798616023,0.000258205430472732,0.00179831979714204
gene-Wdr19,NC_000071.7,+,37,2.189718510054,0.000258213860921114,0.00179831979714204
gene-Pcdhga10,NC_000084.7,+,4,7.64158098515146,0.000258358368105308,0.00179835779047683
gene-Gak,NC_000071.7,-,33,2.28129252898084,0.000260378048753873,0.00181144126118012
gene-Rfx1,NC_000074.7,+,24,2.5866167736177,0.000261287454794657,0.00181679067358027
gene-Slco1c1,NC_000072.7,+,17,3.01691340025371,0.000265216049686666,0.00184311615830073
gene-Ift46,NC_000075.7,+,18,2.93606944400452,0.000265410645435497,0.00184347791483205
gene-Osbpl2,NC_000068.8,+,14,3.32192964002473,0.000265987795720196,0.00184649498768078
gene-B3gntl1,NC_000077.7,-,12,3.60319441220119,0.00026752112263966,0.00185614306818601
gene-Stk35,NC_000068.8,+,4,7.60000286340502,0.000269284160964642,0.001867373755365
gene-Phlpp1,NC_000067.7,+,17,3.00946755760911,0.000273740222735736,0.00189725739584205
gene-Lss,NC_000076.7,+,24,2.57816415268778,0.000274181937454392,0.00189930101612086
gene-Zbtb33,NC_000086.8,+,3,9.86910013053975,0.000278218932286443,0.00192623418161701
gene-Rabl6,NC_000068.8,-,15,3.19456053029328,0.000279208816105304,0.00193205330052964
gene-Ssr3,NC_000069.7,-,5,6.3135885621176,0.000280481857534862,0.00193982452593496
gene-Cdc42se2,NC_000077.7,-,6,5.51916746524893,0.000280899797013907,0.00194167668347453
gene-Hs6st2,NC_000086.8,-,5,6.31180927798977,0.00028112560311609,0.00194219947922029
gene-Pde10a,NC_000083.7,+,27,2.45064274770007,0.000284901290214267,0.00196723352180519
gene-Srrm1,NC_000070.7,-,31,2.32242268605155,0.000285312137170561,0.00196901914088947
gene-Dnajc5,NC_000068.8,+,11,3.757955706317,0.000286050292079652,0.00197306049464861
gene-Srek1,NC_000079.7,-,25,2.52700592081665,0.000287028841631311,0.00197875480214165
gene-Nsf,NC_000077.7,-,21,2.72126201543638,0.000287493881290036,0.00198090483043369
gene-Exoc7,NC_000077.7,-,22,2.66488893166039,0.000290145508997161,0.0019981106857616
gene-Cadm3,NC_000067.7,-,11,3.75026580635171,0.000292421868886691,0.00201271529021372
gene-Smg6,NC_000077.7,+,22,2.66165909910619,0.000295149246549877,0.00203040702427104
gene-Rad21,NC_000081.7,-,14,3.2924865056725,0.000295515748776072,0.00203184751670438
gene-Afg1l,NC_000076.7,-,12,3.56944218917464,0.000297090775123906,0.0020415913893079
gene-Tgoln1,NC_000072.7,-,4,7.49771557207886,0.000298248127713935,0.00204845620590776
gene-Rtn3,NC_000085.7,-,11,3.74285546506887,0.000298696813972946,0.00205044898891301
gene-Khdc4,NC_000069.7,+,20,2.77207546444031,0.000300108356326903,0.00205904582088904
gene-Usp14,NC_000084.7,-,18,2.90829428628284,0.000300444559653581,0.00206025953870613
gene-Atp11b,NC_000069.7,+,35,2.21346535069819,0.000301919283590878,0.00206927508992095
gene-Cop1,NC_000067.7,+,26,2.47720742453681,0.00030442655845835,0.0020853541740158
gene-Ttll12,NC_000081.7,-,14,3.28298295806223,0.000305728934366467,0.00209316691803151
gene-Zfp407,NC_000084.7,-,10,3.94011041681462,0.0003079323127084,0.00210713682553319
gene-Eml4,NC_000083.7,+,25,2.51474705342243,0.000308500867471151,0.0021099110095211
gene-Arhgap20,NC_000075.7,+,16,3.06864748655839,0.000309409930695731,0.00211500984867224
gene-Alg2,NC_000070.7,-,3,9.70965470842592,0.000310945709477173,0.00212438502940744
gene-Kat2a,NC_000077.7,-,20,2.76299017296494,0.000313719899800812,0.00214220668644345
gene-Nxpe4,NC_000075.7,+,11,3.72385927534433,0.000315407880856071,0.00215259637103513
gene-Nt5m,NC_000077.7,+,8,4.49594838929587,0.000316102372177798,0.00215549727533438
gene-Slc11a2,NC_000081.7,-,20,2.7613987422332,0.000316166267015335,0.00215549727533438
gene-Ube2o,NC_000077.7,-,21,2.70242858985113,0.00031641226208558,0.0021560378216822
gene-Fam13c,NC_000076.7,+,17,2.97377909029159,0.000318532088240732,0.00216933938768688
gene-Maneal,NC_000070.7,-,6,5.43597320885963,0.000320127452384851,0.00217905702194383
gene-Pgm2,NC_000071.7,+,16,3.05698644548557,0.000324279266288509,0.0022061566285688
gene-Jade1,NC_000069.7,+,10,3.91543318613335,0.000328499027164909,0.00223342311240415
gene-Map3k13,NC_000082.7,+,16,3.05367305773803,0.000328632504670618,0.00223342311240415
gene-Foxp2,NC_000072.7,+,22,2.64033857692528,0.000330384764627146,0.00224306830361141
gene-E2f6,NC_000078.7,+,11,3.70766058522107,0.000330398601900544,0.00224306830361141
gene-Tsr1,NC_000077.7,+,15,3.14844867809493,0.000332720535471718,0.00225733430044163
gene-Kdm2b,NC_000071.7,-,26,2.46250282682483,0.000332849030460232,0.00225733430044163
gene-Gpm6a,NC_000074.7,+,8,4.47020278050097,0.00033375523921468,0.00226229376769573
gene-Bbs9,NC_000075.7,+,26,2.46174249855151,0.000334387559316704,0.00226505380214416
gene-Fam53b,NC_000073.7,-,6,5.4080554423003,0.00033451270100482,0.00226505380214416
gene-Trp53bp2,NC_000067.7,+,18,2.88359293612783,0.000335434766882028,0.00227010875985624
gene-Cadm1,NC_000075.7,+,14,3.25644745720132,0.000336150634235495,0.00227376367812116
gene-Gaa,NC_000077.7,+,21,2.69038731776321,0.000336389032707533,0.00227418680606718
gene-Cul7,NC_000083.7,+,26,2.46036793130634,0.000337186766190851,0.00227725347213806
gene-Cct5,NC_000081.7,-,12,3.52869104913883,0.000337194803923636,0.00227725347213806
gene-Irgq,NC_000073.7,+,3,9.57063122118932,0.000342761082063307,0.00231363730392732
gene-Capn5,NC_000073.7,-,13,3.37630991601627,0.000343875289140666,0.0023199473732166
gene-Pyroxd1,NC_000072.7,+,13,3.37461011908461,0.000345835195021478,0.0023319533770661
gene-2810408A11Rik,NC_000077.7,-,17,2.95406611568851,0.000346321247724308,0.00233401391183871
gene-Pdia6,NC_000078.7,+,13,3.37051675721454,0.000350600911426553,0.00236162582681229
gene-Fam76b,NC_000075.7,+,16,3.03396223938441,0.000355757396974389,0.00239511213694418
gene-Ctsb,NC_000080.7,+,12,3.50847934641443,0.000359056231858356,0.0024160636038627
gene-Blmh,NC_000077.7,+,12,3.50796920119283,0.000359626024795718,0.00241761409154828
gene-Inpp5e,NC_000068.8,-,15,3.12796496227317,0.000359660520539618,0.00241761409154828
gene-Gga3,NC_000077.7,-,22,2.62405247719966,0.000360067985228066,0.00241909571582056
gene-B230354K17Rik,NC_000083.7,+,4,7.30752630164117,0.000360996821228236,0.00242407678553727
gene-Bicra,NC_000073.7,-,16,3.02787391319588,0.000364577562952349,0.00244685086749493
gene-Sgpl1,NC_000076.7,-,19,2.79417161812278,0.000366570743764203,0.00245895198604898
gene-Dzip1l,NC_000075.7,+,25,2.48445725334145,0.000368566698357911,0.0024710591549315
gene-Tug1,NC_000077.7,-,5,6.09941602793054,0.00037001813891397,0.00247950496920952
gene-Asap2,NC_000078.7,+,35,2.1860083292652,0.000372833382803449,0.00249707619875557
gene-Ap2a1,NC_000073.7,-,25,2.48232911829092,0.000373195013595311,0.00249820450871023
gene-Fbxo42,NC_000070.7,+,11,3.66495617763575,0.000373442061640824,0.00249856501976243
gene-Hsd17b4,NC_000084.7,+,24,2.52370656776315,0.000373653033098828,0.00249868390748042
gene-Dcun1d4,NC_000071.7,+,15,3.11736082369537,0.000374449719057041,0.00250271742458125
gene-Ksr1,NC_000077.7,-,23,2.56769148057341,0.000375388319501352,0.00250769480171022
gene-Prr36,NC_000074.7,-,16,3.01870199392322,0.000378277116534523,0.0025245901594657
gene-Zfp319,NC_000074.7,-,2,15.1332664086157,0.000378307873582658,0.0025245901594657
gene-Asph,NC_000070.7,-,27,2.40480176981872,0.000379517581113665,0.00253135682132183
gene-Cap2,NC_000079.7,+,14,3.21958532618961,0.00038348886665982,0.00255629992857185
gene-Hcn1,NC_000079.7,+,8,4.40428378945762,0.000383652529293896,0.00255629992857185
gene-Ppp2r1a,NC_000083.7,+,15,3.11025937014046,0.000384690949847416,0.00256189910112082
gene-Miat,NC_000071.7,-,9,4.36907174366266,0.000385908696511984,0.00256868614101363
gene-Sox6,NC_000073.7,-,24,2.51692398398768,0.000388299530257231,0.00258327048601686
gene-Nyap1,NC_000071.7,-,10,3.85065031535008,0.000389326397610192,0.00258877033434067
gene-Golgb1,NC_000082.7,+,25,2.47440408996253,0.000390938621616812,0.00259815477562705
gene-Rbck1,NC_000068.8,-,17,2.92424316446857,0.000393002082910048,0.00261052693285858
gene-Sema3a,NC_000071.7,+,19,2.77869610945134,0.00039400514129592,0.0026158462486551
gene-Rnf24,NC_000068.8,-,6,5.30284213812394,0.000394938589113411,0.00262069819035595
gene-Alms1,NC_000072.7,+,27,2.39783701727417,0.000396366203005965,0.00262882261716726
gene-Ccdc92b,NC_000077.7,+,5,6.04564871050507,0.00039680663341814,0.00263039476678463
gene-Arhgef11,NC_000069.7,+,42,2.04688411913483,0.00039882002916052,0.00264238700672798
gene-Lrp1b,NC_000068.8,-,43,2.03124327089543,0.00039908221894317,0.0026427702701444
gene-Tcf25,NC_000074.7,+,26,2.43239353882029,0.000399426777365394,0.00264369831712724
gene-Zhx1,NC_000081.7,-,5,6.03990709603358,0.00039978278319678,0.00264470114326545
gene-Zbtb41,NC_000067.7,+,13,3.32983847376295,0.000401680705952884,0.00265589804196761
gene-Nwd1,NC_000074.7,+,24,2.51077898099466,0.000402056107422723,0.00265702178707107
gene-Klhl18,NC_000075.7,-,12,3.47167615050833,0.000402577176526012,0.00265910654954592
gene-Mpped1,NC_000081.7,+,15,3.09590199291585,0.00040625601110114,0.00268203623867843
gene-Nap1l4,NC_000073.7,-,16,3.00051535543803,0.000406973043282789,0.00268539916774302
gene-Rpgrip1l,NC_000074.7,-,30,2.29920388287186,0.000407378153666172,0.00268670151012983
gene-Cdk6,NC_000071.7,+,7,4.76002385073487,0.000409762604832456,0.00270104983093688
gene-Rph3a,NC_000071.7,-,26,2.42761877647223,0.000411122917728024,0.00270863611562737
gene-Zmynd8,NC_000068.8,-,42,2.04328325319914,0.000411650595886393,0.00271073174979568
gene-Coro2a,NC_000070.7,-,12,3.46321182713816,0.000413312127308869,0.00272028790966189
gene-Rev1,NC_000067.7,-,33,2.21805970352071,0.000414198815326544,0.00272473717121984
gene-Rcor3,NC_000067.7,-,18,2.83431353481374,0.000417757712373796,0.00274675164927825
gene-Zfp287,NC_000077.7,-,16,2.9936321076511,0.000418389526977998,0.00274950800427157
gene-Csnk1d,NC_000077.7,-,12,3.45898214259553,0.000418783446734228,0.00275069899269364
gene-Klhl2,NC_000074.7,-,17,2.90816979270001,0.000420698413580622,0.00276112985464845
gene-Scrn1,NC_000072.7,-,12,3.45743831299116,0.000420798495593606,0.00276112985464845
gene-Nrp2,NC_000067.7,+,19,2.76410559074763,0.000421727623410264,0.00276582320160494
gene-Arl13b,NC_000082.7,-,10,3.81951488103199,0.000422480119832157,0.0027693539735374
gene-Zbed6,NC_000067.7,-,18,2.83117864853042,0.000423625070706667,0.00277545240093684
gene-Usp12,NC_000071.7,-,10,3.81188787529322,0.000431026240292853,0.00282251259023163
gene-Rabep1,NC_000077.7,+,22,2.58545212881845,0.000441334152429599,0.00288854989543117
gene-Rhobtb3,NC_000079.7,-,14,3.1800961574852,0.000441601786733398,0.00288883960941985
gene-Heatr5a,NC_000078.7,-,35,2.16291630253223,0.000444851017983627,0.00290862397147738
gene-Crebrf,NC_000083.7,+,11,3.60292487680881,0.000446202314240612,0.00291598510867804
gene-Mfap2,NC_000070.7,+,14,3.175963259774,0.000448170027098548,0.00292736513154825
gene-Vps37c,NC_000085.7,+,9,4.03390304752178,0.000449095517147348,0.00293192949180548
gene-Ppfia3,NC_000073.7,-,34,2.18348538357322,0.000449937982154119,0.00293594748900062
gene-Slc36a4,NC_000075.7,+,14,3.17282239996645,0.000453226729217446,0.00295591592988867
gene-Hivep3,NC_000070.7,+,18,2.81572192562712,0.000453769429401785,0.00295796372502686
gene-Marchf4,NC_000067.7,-,7,4.70430080735999,0.00045440160093636,0.00296059239542063
gene-Srp72,NC_000071.7,+,19,2.74702469587379,0.00045664129297338,0.00297368672810913
gene-Cntnap5b,NC_000067.7,+,26,2.40970939501712,0.000458065567105838,0.00298146048282829
gene-Nos1,NC_000071.7,+,28,2.34158940631571,0.000458485368519636,0.00298269178624972
gene-Slc6a1,NC_000072.7,+,18,2.81309598882646,0.000459097671593443,0.0029851735478723
gene-Gm16163,NC_000074.7,+,2,14.6208551886884,0.000460404400449867,0.00299216588493374
gene-Osbp,NC_000085.7,+,15,3.06273611970425,0.000460783917123735,0.00299312827732861
gene-Ddx25,NC_000075.7,-,12,3.42519931212586,0.000465169187394835,0.00302009693804087
gene-Ctsf,NC_000085.7,+,15,3.0599809904582,0.000465628586389361,0.00302156272341877
gene-Cpeb2,NC_000071.7,+,13,3.28474855397761,0.000467037158575364,0.0030291833359354
gene-Ap4m1,NC_000071.7,+,20,2.68012244082512,0.000469691441952132,0.00304487188910623
gene-Zfp800,NC_000072.7,-,7,4.68562033905628,0.00047044940208854,0.00304825757375305
gene-Bcat1,NC_000072.7,-,12,3.42046807424521,0.000472063807913204,0.00305718639346092
gene-Ccdc167,NC_000083.7,-,6,5.18958947179801,0.000472565712113386,0.00305890508246367
gene-Txlng,NC_000086.8,-,13,3.28100138563686,0.00047292466344748,0.00305969718477551
gene-Clptm1,NC_000073.7,-,15,3.05566752459096,0.00047331544931556,0.00306069435299907
